행정구역(시군구)별(1),행정구역(시군구)별(2),2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06
전국,소계,"667,227","702,329","641,449","587,293","569,020","484,468","563,622","565,607","517,785","594,081","565,735","645,782","647,272","780,471","766,192","614,262","568,965","606,947","582,941","614,735","621,468","604,412","610,204","717,622","633,309","705,794","735,225","593,387","556,711","543,949"
서울특별시,소계,"129,031","143,367","137,242","122,867","117,209","97,933","118,365","118,002","109,435","133,127","117,720","131,783","127,159","167,282","167,806","134,325","120,443","126,224","121,544","131,848","137,952","137,100","127,049","144,245","124,855","151,351","157,833","127,213","121,276","112,992"
서울특별시,종로구,"2,068","2,524","2,414","1,939","1,979","1,640","1,880","1,924","1,755","1,941","1,773","2,108","2,026","2,649","2,634","2,161","1,957","2,035","1,893","1,986","2,058","1,988","1,883","1,984","1,887","2,490","2,697","1,978","1,918","1,916"
서울특별시,중구,"1,534","1,839","1,729","1,524","1,548","1,366","1,616","1,786","1,502","1,742","1,519","1,679","1,681","2,237","2,307","1,699","1,625","1,676","1,609","1,592","2,011","1,681","1,701","1,914","1,758","2,052","2,144","1,680","1,744","1,621"
서울특별시,용산구,"3,006","3,272","3,155","2,973","3,014","2,517","2,863","2,787","2,821","3,157","2,844","3,264","3,041","3,679","3,879","3,218","2,896","3,029","2,889","3,067","3,435","3,363","3,006","3,483","2,894","3,647","3,882","3,253","3,338","3,170"
서울특별시,성동구,"4,229","5,042","4,531","3,981","3,715","3,181","3,695","3,856","3,539","4,370","3,785","4,178","4,255","5,650","5,750","4,534","4,010","4,078","3,897","4,036","4,207","4,456","3,806","4,417","3,809","4,826","5,041","3,744","3,640","3,485"
서울특별시,광진구,"4,855","5,452","5,241","4,814","4,694","3,920","4,565","4,460","4,154","5,050","4,677","5,206","4,675","6,040","6,461","5,123","4,512","4,721","4,345","4,842","4,939","4,943","4,645","5,457","4,684","5,546","5,827","4,839","4,438","4,178"
서울특별시,동대문구,"5,089","5,785","5,924","4,412","4,076","3,682","4,266","3,974","3,614","4,275","3,974","4,589","4,642","6,258","6,523","4,861","3,918","4,359","4,199","4,810","4,778","4,631","4,359","4,797","4,299","5,442","5,544","4,217","4,002","3,756"
서울특별시,중랑구,"4,310","4,427","4,846","4,900","4,683","3,951","4,801","4,487","4,110","5,478","4,729","5,210","4,506","5,344","6,219","5,207","4,696","5,017","5,111","5,602","5,473","5,147","4,897","4,993","4,427","5,039","5,652","4,923","4,721","4,415"
서울특별시,성북구,"5,155","6,062","6,076","5,126","4,647","3,768","4,707","4,647","4,227","5,848","5,227","5,679","5,634","7,672","7,050","5,423","4,812","5,115","5,101","5,259","5,395","5,684","5,410","5,676","5,743","7,051","6,949","5,319","4,704","4,346"
서울특별시,강북구,"3,412","3,396","4,168","3,908","3,647","3,062","3,227","3,238","2,964","4,201","3,733","3,666","3,259","4,114","4,505","3,957","3,734","4,043","3,713","3,638","3,934","3,857","3,900","4,002","3,389","4,006","4,286","3,758","3,560","3,384"
서울특별시,도봉구,"3,344","3,347","3,687","3,530","3,361","2,875","3,307","3,282","3,192","3,879","3,736","3,685","3,388","4,282","4,613","4,062","3,802","3,754","3,756","3,808","4,242","4,271","3,789","4,125","3,486","3,946","4,319","3,695","3,658","3,372"
서울특별시,노원구,"6,108","6,901","6,156","5,375","4,871","4,043","5,398","5,745","5,012","6,402","5,501","6,583","6,552","9,110","8,053","6,052","5,350","5,665","5,420","6,158","6,486","6,015","5,519","7,327","6,452","7,556","7,049","5,501","5,121","4,710"
서울특별시,은평구,"5,839","6,110","6,443","6,041","5,718","4,642","5,660","6,490","6,730","7,237","5,889","5,922","5,565","6,663","7,426","6,410","5,946","7,039","6,405","5,777","6,575","6,145","5,946","6,268","5,063","5,895","6,651","5,799","5,655","5,358"
서울특별시,서대문구,"4,256","5,110","4,358","3,765","3,948","3,076","3,558","3,672","3,495","3,797","3,608","4,034","4,322","5,869","5,740","4,343","3,528","3,852","3,913","4,425","4,692","4,435","4,042","4,418","3,940","5,176","5,090","3,936","3,818","3,394"
서울특별시,마포구,"5,197","5,834","5,584","4,982","4,545","3,713","4,885","5,016","4,720","5,287","4,677","5,133","5,350","7,291","7,162","5,500","4,857","5,127","4,996","5,452","5,867","5,780","5,475","5,810","4,914","6,035","6,786","5,431","5,089","4,618"
